candidate_id,country_code,raw_city,canonical_city_name,parenthetical_reference,match_key,status,matched_city_id,matched_city_name,notes
be_001,BE,Knokke-Heist,Knokke-Heist,,knokke heist,CITY_MATCHED,7f38fb1d-beb8-4c56-947a-2f8019837d52,Knokke-Heist,
be_002,BE,Eghezée (Liernu),Eghezée,Liernu,eghezee,CITY_MISSING,,,"Parenthetical '(Liernu)' treated as nearby-place reference only, not used for matching or city creation -- primary name 'Eghezée' is the actual municipality (evidence-based rule, confirmed against 4 cases in the location spike: Elverdinge/Ieper, Lichtaart/Kasterlee, Sint-Kruis/Brugge, Eghezee/Liernu)."
be_003,BE,Antwerpen,Antwerp,,antwerp,CITY_MATCHED,4de2e02c-0e95-443b-9319-d1ff935a114c,Antwerp,BE language-variant normalization: 'Antwerpen' -> 'Antwerp' (matches existing production spelling convention).
be_004,BE,Marchin,Marchin,,marchin,CITY_MISSING,,,
be_005,BE,Bruxelles,Brussels,,brussels,CITY_MATCHED,4967ac0e-64af-4fe0-afa2-3acaa20ef5e5,Brussels,BE language-variant normalization: 'Bruxelles' -> 'Brussels' (matches existing production spelling convention).
be_006,BE,Bruxelles (Anderlecht),Brussels,Anderlecht,brussels,CITY_MATCHED,4967ac0e-64af-4fe0-afa2-3acaa20ef5e5,Brussels,"Parenthetical '(Anderlecht)' treated as nearby-place reference only, not used for matching or city creation -- primary name 'Bruxelles' is the actual municipality (evidence-based rule, confirmed against 4 cases in the location spike: Elverdinge/Ieper, Lichtaart/Kasterlee, Sint-Kruis/Brugge, Eghezee/Liernu). | BE language-variant normalization: 'Bruxelles' -> 'Brussels' (matches existing production spelling convention)."
be_007,BE,Antwerpen,Antwerp,,antwerp,CITY_MATCHED,4de2e02c-0e95-443b-9319-d1ff935a114c,Antwerp,BE language-variant normalization: 'Antwerpen' -> 'Antwerp' (matches existing production spelling convention).
be_008,BE,Antwerpen,Antwerp,,antwerp,CITY_MATCHED,4de2e02c-0e95-443b-9319-d1ff935a114c,Antwerp,BE language-variant normalization: 'Antwerpen' -> 'Antwerp' (matches existing production spelling convention).
be_010,BE,Antwerpen,Antwerp,,antwerp,CITY_MATCHED,4de2e02c-0e95-443b-9319-d1ff935a114c,Antwerp,BE language-variant normalization: 'Antwerpen' -> 'Antwerp' (matches existing production spelling convention).
be_011,BE,Antwerpen,Antwerp,,antwerp,CITY_MATCHED,4de2e02c-0e95-443b-9319-d1ff935a114c,Antwerp,BE language-variant normalization: 'Antwerpen' -> 'Antwerp' (matches existing production spelling convention).
